Folder,FileCount
Commodore 64,15498
Nintendo Entertainment System,1881
Sony Playstation,430
Arcade,376
Super Nintendo Entertainment System,328
Sega Genesis,189
Nintendo Game Boy Advance,157
Nintendo Game Boy,156
SNK Neo Geo AES,140
Nintendo Game Boy Color,109
NEC TurboGrafx-16,82
Sega Master System,56
Sega CD,55
Atari 2600,51
Sega Game Gear,43
SNK Neo Geo CD,37
NEC TurboGrafx-CD,26
SNK Neo Geo Pocket,22
Sega CD 32X,19
Atari Lynx,17
Sony PSP,4
Nintendo DS,2
ZiNc,1
XaviXPORT,1
WonderSwan Color,1
WonderSwan,1
WoW Action Max,1
Windows,1
Watara Supervision,1
Vector-06C,1
VTech V.Smile,1
VTech Socrates,1
VTech CreatiVision,1
Tomy Tutor,1
Tiger Game.com,1
Texas Instruments TI 99_4A,1
Tapwave Zodiac,1
Tandy TRS-80,1
Taito Type X,1
TRS-80 Color Computer,1
Spectravideo,1
Sord M5,1
Sony PocketStation,1
Sony Playstation Vita,1
Sony Playstation 5,1
Sony Playstation 4,1
Sony Playstation 3,1
Sony Playstation 2,1
Sony PSP Minis,1
Sinclair ZX-81,1
Sinclair ZX Spectrum,1
Sharp X68000,1
Sharp X1,1
Sharp MZ-2500,1
Sega Saturn,1
Sega SG-1000,1
Sega SC-3000,1
Sega Pico,1
Sega Dreamcast VMU,1
Sega Dreamcast,1
Sega 32X,1
ScummVM,1
SNK Neo Geo Pocket Color,1
SAM Coupé,1
RCA Studio II,1
Philips Videopac+,1
Philips VG 5000,1
Philips CD-i,1
PICO-8,1
PC Engine SuperGrafx,1
Ouya,1
Othello Multivision,1
Oric Atmos,1
OpenBOR,1
Nuon,1
Nintendo Wii U,1
Nintendo Wii,1
Nintendo Virtual Boy,1
Nintendo Switch,1
Nintendo Satellaview,1
Nintendo Pokemon Mini,1
Nintendo GameCube,1
Nintendo Game & Watch,1
Nintendo Famicom Disk System,1
Nintendo 64DD,1
Nintendo 64,1
Nintendo 3DS,1
NEC PC-FX,1
NEC PC-9801,1
NEC PC-8801,1
Microsoft Xbox Series X_S,1
Microsoft Xbox One,1
Microsoft Xbox 360,1
Microsoft Xbox,1
Microsoft MSX2+,1
Microsoft MSX2,1
Microsoft MSX,1
Memotech MTX512,1
Mega Duck,1
Mattel Intellivision,1
Mattel HyperScan,1
Mattel Aquarius,1
Matra and Hachette Alice,1
Magnavox Odyssey 2,1
Magnavox Odyssey,1
MUGEN,1
Jupiter Ace,1
Interton VC 4000,1
Hector HRX,1
Hartung Game Master,1
GamePark GP32,1
Game Wave Family Entertainment System,1
GCE Vectrex,1
Funtech Super Acan,1
Fujitsu FM-7,1
Fujitsu FM Towns Marty,1
Fairchild Channel F,1
Exidy Sorcerer,1
Exelvision EXL 100,1
Epoch Super Cassette Vision,1
Epoch Game Pocket Computer,1
Entex Adventure Vision,1
Enterprise,1
Emerson Arcadia 2001,1
Elektronika BK,1
EACA EG2000 Colour Genie,1
Dragon 32_64,1
Commodore VIC-20,1
Commodore Plus 4,1
Commodore PET,1
Commodore MAX Machine,1
Commodore CDTV,1
Commodore Amiga CD32,1
Commodore Amiga,1
Commodore 128,1
ColecoVision,1
Coleco ADAM,1
Casio PV-1000,1
Casio Loopy,1
Camputers Lynx,1
Bally Astrocade,1
BBC Microcomputer System,1
Atari XEGS,1
Atari ST,1
Atari Jaguar CD,1
Atari Jaguar,1
Atari 800,1
Atari 7800,1
Atari 5200,1
Apple iOS,1
Apple Mac OS,1
Apple IIGS,1
Apple II,1
Apogee BK-01,1
Android,1
Amstrad GX4000,1
Amstrad CPC,1
Acorn Electron,1
Acorn Atom,1
Acorn Archimedes,1
Aamber Pegasus,1
APF Imagination Machine,1
3DO Interactive Multiplayer,1
163896716 .,1
