Folder,FileCount
nes,3486
MAME,2654
c64,1523
atari2600,389
snes,329
psx,252
megadrive,194
GBA,152
GB,151
NEOGEO,141
SCUMMVM,136
LYNX,129
N64,101
GBC,101
PCE,82
GG,78
PSP,68
SEGACD,56
NEOCD,37
pygame,36
PCECD,26
prboom,16
xash3d_fwgs,10
snes-original,10
nes-original,10
megadrive-original,10
cannonball,8
DOS,7
sdlpop,6
odcommander,6
mrboom,6
devilutionx,5
iortcw,4
C64-old,4
moonlight,3
zxspectrum,2
zx81,2
zc210,2
xrick,2
xegs,2
x68000,2
x1,2
wswanc,2
wswan,2
vsmile,2
vitaquake2,2
vis,2
virtualboy,2
videopacplus,2
vgmplay,2
vectrex,2
vc4000,2
uzebox,2
tyrquake,2
tyrian,2
tutor,2
tic80,2
ti99,2
thomson,2
thextech,2
systemsp,2
supracan,2
supervision,2
supergrafx,2
superbroswar,2
sufami,2
sonicretro,2
solarus,2
socrates,2
snes-msu1,2
sgb,2
sg1000,2
scv,2
satellaview,2
samcoupe,2
reminiscence,2
raze,2
quake3,2
pv1000,2
psx-original,2
pokemini,2
plugnplay,2
pico8,2
pet,2
pdp1,2
pcenginecd,2
pc98,2
pc88,2
openlara,2
o2em,2
neogeocd,2
naomi2,2
n64dd,2
multivision,2
msxturbor,2
msx2+,2
msx2,2
msx1,2
msu-md,2
megaduck,2
mastersystem,2
macintosh,2
lutro,2
lowresnx,2
lcdgames,2
laser310,2
jaguar,2
intellivision,2
hurrican,2
hcl,2
gzdoom,2
gx4000,2
gp32,2
gmaster,2
gbc2players,2
gb2players,2
gamepock,2
gamegear,2
gamecom,2
gameandwatch,2
gamate,2
fury,2
fmtowns,2
fm7,2
flash,2
fallout2-ce,2
fallout1-ce,2
electron,2
eduke32,2
ecwolf,2
daphne,2
crvision,2
cplus4,2
corsixth,2
colecovision,2
coco,2
channelf,2
cgenius,2
cdogs,2
cavestory,2
camplynx,2
c20,2
c128,2
bbc,2
atom,2
atari800,2
atari7800,2
atari5200,2
atari2600-original,2
astrocde,2
arduboy,2
archimedes,2
arcadia,2
apple2gs,2
apple2,2
apfm1000,2
amstradcpc,2
amigacdtv,2
amigacd32,2
amiga500,2
amiga1200,2
advision,2
adam,2
abuse,2
NGPC,2
pcengine,1
WS,1
VIC20,1
VB,1
VARCADE,1
SMS,1
SFCg,1
SEGA32X,1
SATURN,1
PORTS,1
POKE,1
PICO,1
PGM2,1
OPENBOR,1
ONS,1
NGP,1
NDS,1
NAOMI,1
MSX,1
MDCD,1
HBMAME,1
GW,1
FDS,1
FBNEO,1
EASYRPG,1
DREAMCAST,1
CPS3,1
CPS2,1
CPS1,1
ATOMISWAVE,1
ATARIST,1
APPS,1
AMIGA,1
A800,1
A7800,1
A5200,1
118850304 .,1
